source,page_url,author,license,license_url,filename,original_title,date
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:P_Madeira_2015_Pana_(356).JPG,Mattes,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,P_Madeira_2015_Pana__356_.jpg,File:P Madeira 2015 Pana (356).JPG,2015-09-16 17:34:05
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Arcanjo_Tenente_com_as_Armas_de_Portugal_-_Lisboa,_1641-1666_(MNAz_inv._6118_Az).png",RickMorais,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Arcanjo_Tenente_com_as_Armas_de_Portugal_-_Lisboa__1641-1666__MNAz_inv._6118_Az_.jpg,"File:Arcanjo Tenente com as Armas de Portugal - Lisboa, 1641-1666 (MNAz inv. 6118 Az).png",2017-05-20
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Alegoria_Eucar%C3%ADstica_-_Lisboa,_c._1660,_proveniente_do_antigo_Convento_de_Sant%27Ana_(MNAz_inv._161_Az).png","KLMircea from Focsani, Romania",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Alegoria_Eucaristica_-_Lisboa__c._1660__proveniente_do_antigo_Convento_de_Sant_Ana__MNAz_inv._161_Az_.jpg,"File:Alegoria Eucarística - Lisboa, c. 1660, proveniente do antigo Convento de Sant'Ana (MNAz inv. 161 Az).png","circa 1660date QS:P,+1660-00-00T00:00:00Z/9,P1480,Q5727902"
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Adoraci%C3%B3n_de_los_Magos_(1897).jpg,CarlosVdeHabsburgo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Adoracion_de_los_Magos__1897_.jpg,File:Adoración de los Magos (1897).jpg,2017-07-28 19:25:47
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Santa_Clara_em_azulejos.jpg,GualdimG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Santa_Clara_em_azulejos.jpg,File:Santa Clara em azulejos.jpg,2018-05-22 11:20:29
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Eucharistic_Allegory_(Lisbon,_1660)_(41744264080).jpg","Pedro Ribeiro Simões from Lisboa, Portugal",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Eucharistic_Allegory__Lisbon__1660___41744264080_.jpg,"File:Eucharistic Allegory (Lisbon, 1660) (41744264080).jpg",2018-06-20 13:58
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Flowering_vases_with_Cherubins_and_Parrots_(Lisbon,_XVII_century_-_3%C2%BA_Quarter)_(29382327908).jpg","Pedro Ribeiro Simões from Lisboa, Portugal",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Flowering_vases_with_Cherubins_and_Parrots__Lisbon__XVII_century_-_3o_Quarter___29382327908_.jpg,"File:Flowering vases with Cherubins and Parrots (Lisbon, XVII century - 3º Quarter) (29382327908).jpg",2018-06-20 14:35
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:S%C3%A3o_Francisco_d%C3%A1_a_F%C3%B3rmula_de_Vida_a_Santa_Clara_-_Valentim_de_Almeida_(Convento_do_Louri%C3%A7al).png,Valentim de Almeida (1692-1779),Public domain,,Sao_Francisco_da_a_Formula_de_Vida_a_Santa_Clara_-_Valentim_de_Almeida__Convento_do_Lourical_.jpg,File:São Francisco dá a Fórmula de Vida a Santa Clara - Valentim de Almeida (Convento do Louriçal).png,"18th centurydate QS:P,+1750-00-00T00:00:00Z/7"
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Milagre_da_Multiplica%C3%A7%C3%A3o_dos_P%C3%A3es_de_Santa_Clara_-_Valentim_de_Almeida_(Convento_do_Louri%C3%A7al).png,Valentim de Almeida (1692-1779),Public domain,,Milagre_da_Multiplicacao_dos_Paes_de_Santa_Clara_-_Valentim_de_Almeida__Convento_do_Lourical_.jpg,File:Milagre da Multiplicação dos Pães de Santa Clara - Valentim de Almeida (Convento do Louriçal).png,"18th centurydate QS:P,+1750-00-00T00:00:00Z/7"
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:S%C3%A3o_Francisco_d%C3%A1_a_F%C3%B3rmula_de_Vida_a_Santa_Clara_-_Valentim_de_Almeida_(Convento_do_Louri%C3%A7al)_(cropped).png,Valentim de Almeida (1692-1779),Public domain,,Sao_Francisco_da_a_Formula_de_Vida_a_Santa_Clara_-_Valentim_de_Almeida__Convento_do_Lourical___cropped_.jpg,File:São Francisco dá a Fórmula de Vida a Santa Clara - Valentim de Almeida (Convento do Louriçal) (cropped).png,"18th centurydate QS:P,+1750-00-00T00:00:00Z/7"
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Convento_de_Santa_Clara,_Funchal_-_2013-06-01_-_DSC03187.jpg",PESP/ Wikimedia,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Convento_de_Santa_Clara__Funchal_-_2013-06-01_-_DSC03187.jpg,"File:Convento de Santa Clara, Funchal - 2013-06-01 - DSC03187.jpg",2013-06-01 10:31:25
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Convento_de_Santa_Clara,_Funchal_-_2017-02-11_-_IMG_2436.jpg",PESP/ Wikimedia,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Convento_de_Santa_Clara__Funchal_-_2017-02-11_-_IMG_2436.jpg,"File:Convento de Santa Clara, Funchal - 2017-02-11 - IMG 2436.jpg",2017-02-11 13:21:10
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Convento_de_Santa_Clara,_Funchal_-_2012-02-14_-_SDC19819.jpg",PESP/ Wikimedia,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Convento_de_Santa_Clara__Funchal_-_2012-02-14_-_SDC19819.jpg,"File:Convento de Santa Clara, Funchal - 2012-02-14 - SDC19819.jpg",2012-02-14 16:47:47
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Convento_de_Santa_Clara,_Funchal_-_2014-10-21_-_DSC01922.jpg",PESP/ Wikimedia,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Convento_de_Santa_Clara__Funchal_-_2014-10-21_-_DSC01922.jpg,"File:Convento de Santa Clara, Funchal - 2014-10-21 - DSC01922.jpg",2014-10-21 16:48:29
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:PIRMAVERA_(Hospital_de_Santa_Marta,_Lisboa).png",RickMorais,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,PIRMAVERA__Hospital_de_Santa_Marta__Lisboa_.jpg,"File:PIRMAVERA (Hospital de Santa Marta, Lisboa).png",2020-11-12
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:S._ANTONIO_POBRE_(Hospital_de_Santa_Marta,_Lisboa).png",RickMorais,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,S._ANTONIO_POBRE__Hospital_de_Santa_Marta__Lisboa_.jpg,"File:S. ANTONIO POBRE (Hospital de Santa Marta, Lisboa).png",2019-06-07
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Alcazar_of_Seville_Coat_of_Arms.jpg,Lou Fernando,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Alcazar_of_Seville_Coat_of_Arms.jpg,File:Alcazar of Seville Coat of Arms.jpg,2015-09-26 06:35:12
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Dar_a_Ver_-_Convento_de_Santa_Clara,_Funchal,_Madeira_-_2021-04-17_-_IMG_2705.jpg",Paulo SP/ Wikimedia,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dar_a_Ver_-_Convento_de_Santa_Clara__Funchal__Madeira_-_2021-04-17_-_IMG_2705.jpg,"File:Dar a Ver - Convento de Santa Clara, Funchal, Madeira - 2021-04-17 - IMG 2705.jpg",2021-04-17 14:11:23
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Dar_a_Ver_-_Convento_de_Santa_Clara,_Funchal,_Madeira_-_2021-04-17_-_IMG_2712.jpg",Paulo SP/ Wikimedia,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dar_a_Ver_-_Convento_de_Santa_Clara__Funchal__Madeira_-_2021-04-17_-_IMG_2712.jpg,"File:Dar a Ver - Convento de Santa Clara, Funchal, Madeira - 2021-04-17 - IMG 2712.jpg",2021-04-17 14:13:46
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Battle_Scene_attributed_to_Antonio_Pereira.jpg,Yair Haklai,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Battle_Scene_attributed_to_Antonio_Pereira.jpg,File:Battle Scene attributed to Antonio Pereira.jpg,2022-04-16 10:16:42
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:17_century_tiles_in_Museu_Nacional_do_Azulejo_03.jpg,GualdimG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,17_century_tiles_in_Museu_Nacional_do_Azulejo_03.jpg,File:17 century tiles in Museu Nacional do Azulejo 03.jpg,2022-09-10 15:13:09
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:17_century_tiles_in_Museu_Nacional_do_Azulejo_02.jpg,GualdimG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,17_century_tiles_in_Museu_Nacional_do_Azulejo_02.jpg,File:17 century tiles in Museu Nacional do Azulejo 02.jpg,2022-09-10 15:12:43
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:17_century_tiles_in_Museu_Nacional_do_Azulejo_04.jpg,GualdimG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,17_century_tiles_in_Museu_Nacional_do_Azulejo_04.jpg,File:17 century tiles in Museu Nacional do Azulejo 04.jpg,2022-09-10 15:15:24
Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Retrato_equestre_de_D._Fernando_Mascarenhas,_c._1670_(Pal%C3%A1cio_dos_Marqueses_de_Fronteira).png",Unknown authorUnknown author,Public domain,,Retrato_equestre_de_D._Fernando_Mascarenhas__c._1670__Palacio_dos_Marqueses_de_Fronteira_.jpg,"File:Retrato equestre de D. Fernando Mascarenhas, c. 1670 (Palácio dos Marqueses de Fronteira).png","circa 1670date QS:P,+1670-00-00T00:00:00Z/9,P1480,Q5727902"
